tau,z
0,0
0.000316228,0.037844258
0.000321742,0.038110072
0.000327352,0.03837769
0.00033306,0.038647147
0.000338868,0.03891842
0.000344776,0.039191545
0.000350788,0.039466542
0.000356905,0.039743416
0.000363128,0.040022182
0.00036946,0.040302851
0.000375902,0.040585439
0.000382457,0.040869959
0.000389126,0.041156426
0.000395911,0.041444853
0.000402815,0.041735253
0.000409838,0.04202764
0.000416985,0.04232203
0.000424256,0.042618435
0.000431653,0.042916868
0.00043918,0.043217346
0.000446838,0.043519883
0.00045463,0.043824493
0.000462557,0.044131191
0.000470622,0.044439992
0.000478829,0.044750911
0.000487178,0.045063963
0.000495673,0.045379163
0.000504316,0.045696526
0.00051311,0.046016069
0.000522057,0.046337804
0.00053116,0.046661749
0.000540422,0.046987917
0.000549845,0.047316327
0.000559433,0.047646995
0.000569187,0.047979936
0.000579112,0.048315166
0.00058921,0.048652701
0.000599484,0.048992557
0.000609937,0.049334752
0.000620573,0.0496793
0.000631394,0.05002622
0.000642403,0.050375527
0.000653605,0.050727239
0.000665002,0.051081373
0.000676597,0.051437945
0.000688395,0.051796973
0.000700399,0.052158474
0.000712612,0.052522465
0.000725037,0.052888965
0.00073768,0.053257991
0.000750543,0.053629561
0.00076363,0.054003693
0.000776945,0.054380404
0.000790493,0.054759714
0.000804277,0.055141641
0.000818301,0.055526201
0.000832569,0.055913416
0.000847087,0.056303303
0.000861857,0.056695881
0.000876886,0.057091169
0.000892176,0.057489186
0.000907733,0.057889952
0.000923561,0.058293485
0.000939665,0.058699806
0.00095605,0.059108933
0.00097272,0.059520888
0.000989682,0.059935689
0.001006939,0.060353356
0.001024497,0.060773909
0.001042361,0.06119737
0.001060536,0.06162376
0.001079029,0.062053098
0.001097844,0.062485405
0.001116987,0.062920702
0.001136464,0.063359011
0.00115628,0.063800352
0.001176442,0.064244747
0.001196956,0.064692218
0.001217827,0.065142786
0.001239062,0.065596473
0.001260668,0.066053301
0.00128265,0.066513292
0.001305015,0.066976468
0.001327771,0.067442853
0.001350923,0.067912468
0.001374479,0.068385336
0.001398446,0.068861481
0.00142283,0.069340925
0.00144764,0.069823692
0.001472883,0.070309804
0.001498565,0.070799287
0.001524696,0.071292163
0.001551282,0.071788457
